I (A),U (V),SEM_I (A),SEM_U (V)
0.0027859237536656894,1.87741935483871,6.912089747669138e-06,0.005482816681282571
0.002810361681329423,1.8677419354838711,3.990696876479629e-06,0.001520659744487229
0.002825024437927664,1.8827956989247312,3.990696876479629e-06,0.013629500603463482
0.002839687194525904,1.8698924731182796,3.990696876479629e-06,0.002322846128461633
0.0028543499511241442,1.8591397849462368,1.0558391493007146e-05,0.007186357582710976
0.0028690127077223852,1.8838709677419352,1.9953484382398026e-05,0.013256804307460212
0.0028641251221896377,1.8397849462365592,0.00012448159983638373,0.014452935594018652
0.0029716520039100684,1.864516129032258,5.629570721137498e-05,0.0015206597444872812
0.0028934506353861193,1.8741935483870966,3.990696876479511e-06,0.001520659744487177
0.003040078201368524,1.8311827956989248,8.188225397933572e-05,0.023278183342121107
0.0029374389051808406,1.8741935483870968,7.98139375295914e-06,0.001520659744487177
0.0029667644183773213,1.8827956989247312,1.4388662212981172e-05,0.01755906625651022
0.0029130009775171065,1.8763440860215053,1.0558391493007257e-05,0.001755906625650998
0.0029667644183773213,1.8698924731182796,1.0558391493007257e-05,0.002322846128461622
0.0030156402737047897,1.8483870967741935,3.1925575011836794e-05,0.018437019569335782
0.002961876832844575,1.8763440860215053,0.00017197079262716689,0.039076320203315695
0.0030156402737047897,1.8806451612903228,7.981393752959258e-06,0.00949651706056758
0.003020527859237537,1.875268817204301,6.912089747669138e-06,0.0035118132513020264
0.0030303030303030303,1.870967741935484,1.9953484382398026e-05,0.0040232875126601725
0.003035190615835777,1.8580645161290323,6.912089747669138e-06,0.013169299692382605
0.003040078201368524,1.8806451612903228,4.854892286005646e-05,0.009249812115099669
0.003059628543499511,1.872043010752688,1.0558391493007257e-05,0.0023228461284615764
0.003069403714565005,1.8827956989247312,7.981393752959022e-06,0.0023228461284616106
0.003098729227761486,1.8591397849462368,7.981393752959258e-06,0.009776474334756901
0.0030791788856304983,1.8881720430107525,5.3985146711570185e-05,0.015827528434279325
0.003132942326490714,1.870967741935484,1.0558391493007323e-05,0.003041319488974406
0.003035190615835777,1.898924731182796,6.59371337401372e-05,0.016259922899231134
0.0031036168132942328,1.864516129032258,5.3689335461987934e-05,0.03052703132597501
0.003147605083088954,1.881720430107527,2.4274461430028334e-05,0.006857034576956686
0.0031622678396871946,1.8795698924731183,1.0558391493007257e-05,0.0023228461284615534
0.0031769305962854343,1.8763440860215057,3.990696876479511e-06,0.0008779533128255293
0.0031915933528836754,1.8763440860215053,3.990696876479747e-06,0.0046456922569232326
0.0031867057673509286,1.8817204301075268,1.0558391493007257e-05,0.0031655056868558715
0.00324535679374389,1.8827956989247312,2.7934878135357165e-05,0.01611708039850692
0.0032306940371456504,1.8752688172043008,1.0558391493007347e-05,0.0017559066256510887
0.00323069403714565,1.8817204301075268,3.990696876479629e-06,0.0023228461284615647
0.0032649071358748782,1.8924731182795698,1.4388662212981172e-05,0.01266202274742341
0.0032551319648093844,1.8806451612903226,0.0,0.001520659744487177
0.0032697947214076245,1.8849462365591398,1.3824179495338174e-05,0.006331011373711667
0.003294232649071359,1.8827956989247312,3.990696876479629e-06,0.004645692256923187
0.0033235581622678393,1.8806451612903226,7.981393752959258e-06,0.004023287512660133
0.0033382209188660803,1.864516129032258,1.4388662212981252e-05,0.007901579815429582
0.003352883675464321,1.8763440860215053,7.981393752959258e-06,0.0038269097677531027
0.003357771260997067,1.8763440860215053,1.382417949533807e-05,0.001755906625650998
