I,U
0.0,0.00967741935483871
0.0,0.0
0.0,0.01935483870967742
0.0,0.006451612903225806
4.398826979472141e-05,0.016129032258064516
4.398826979472141e-05,0.019354838709677417
2.932551319648094e-05,0.02258064516129032
2.932551319648094e-05,0.029032258064516127
2.932551319648094e-05,0.02258064516129032
1.466275659824047e-05,0.03225806451612903
0.0,0.04516129032258064
1.466275659824047e-05,0.04516129032258064
0.0,0.04193548387096774
1.466275659824047e-05,0.04516129032258064
2.932551319648094e-05,0.054838709677419356
2.932551319648094e-05,0.04838709677419355
0.0,0.05161290322580645
1.466275659824047e-05,0.06451612903225808
0.0,0.06451612903225808
1.466275659824047e-05,0.09999999999999999
5.865102639296188e-05,0.07096774193548387
1.466275659824047e-05,0.07096774193548387
1.466275659824047e-05,0.07741935483870968
1.466275659824047e-05,0.07741935483870968
1.466275659824047e-05,0.08709677419354839
4.398826979472141e-05,0.08709677419354839
1.466275659824047e-05,0.08387096774193548
0.0,0.08709677419354839
4.398826979472141e-05,0.0935483870967742
2.932551319648094e-05,0.1
1.466275659824047e-05,0.08709677419354839
1.466275659824047e-05,0.1032258064516129
0.0,0.10967741935483871
0.00017595307917888563,0.11290322580645161
1.466275659824047e-05,0.11612903225806452
8.797653958944282e-05,0.12580645161290321
0.0,0.11935483870967742
5.865102639296188e-05,0.12258064516129032
1.466275659824047e-05,0.12580645161290321
4.398826979472141e-05,0.13225806451612904
5.865102639296188e-05,0.12258064516129032
0.0,0.13548387096774195
7.331378299120235e-05,0.13870967741935483
1.466275659824047e-05,0.14838709677419354
1.466275659824047e-05,0.14838709677419354
1.466275659824047e-05,0.15483870967741933
0.00010263929618768328,0.17096774193548386
1.466275659824047e-05,0.2032258064516129
1.466275659824047e-05,0.1870967741935484
2.932551319648094e-05,0.15483870967741936
1.466275659824047e-05,0.14838709677419354
4.398826979472141e-05,0.15483870967741936
1.466275659824047e-05,0.17096774193548386
2.932551319648094e-05,0.1709677419354839
1.466275659824047e-05,0.18387096774193548
0.0,0.19032258064516128
1.466275659824047e-05,0.19032258064516128
5.865102639296188e-05,0.17419354838709677
2.932551319648094e-05,0.19032258064516128
2.932551319648094e-05,0.17096774193548386
1.466275659824047e-05,0.2064516129032258
0.0,0.19999999999999998
0.0,0.2064516129032258
1.466275659824047e-05,0.2096774193548387
0.0,0.2129032258064516
1.466275659824047e-05,0.2129032258064516
0.00035190615835777126,0.2161290322580645
2.932551319648094e-05,0.2225806451612903
0.0,0.23225806451612904
0.0,0.21935483870967742
1.466275659824047e-05,0.20967741935483872
1.466275659824047e-05,0.22903225806451613
1.466275659824047e-05,0.23548387096774193
0.0,0.22258064516129034
1.466275659824047e-05,0.24516129032258063
1.466275659824047e-05,0.25161290322580643
1.466275659824047e-05,0.25161290322580643
1.466275659824047e-05,0.25161290322580643
2.932551319648094e-05,0.25806451612903225
0.00011730205278592375,0.25161290322580643
1.466275659824047e-05,0.2645161290322581
0.0003372434017595308,0.26129032258064516
0.0,0.2645161290322581
2.932551319648094e-05,0.27096774193548384
1.466275659824047e-05,0.27741935483870966
4.398826979472141e-05,0.27741935483870966
1.466275659824047e-05,0.2806451612903226
1.466275659824047e-05,0.2870967741935484
1.466275659824047e-05,0.2838709677419355
2.932551319648094e-05,0.2967741935483871
0.0,0.29354838709677417
0.0,0.3032258064516129
1.466275659824047e-05,0.3
4.398826979472141e-05,0.2870967741935484
2.932551319648094e-05,0.25483870967741934
0.0,0.3161290322580645
1.466275659824047e-05,0.3161290322580645
1.466275659824047e-05,0.3129032258064516
0.0,0.2838709677419355
